question,answers
ẹbun melo ni Theodor H. E. Svedberg  gba ni kẹmistri?,[].
Ipinlẹ wo ni Naijiria ni ọkunrin oniṣowo Obi Cubana ti wa?,[].
Ilu wo ni Mt. Everest wa?,[].
se iye eniyan to wa ni Pakistan ni ọdun 2000 po ju ti iye eniyan towa ni india lo?,[].
Ọmọ ile Afirika wo ni Mahalia Jackson n ṣe?,[].
ṣẹ lilo moto ẹlẹsẹ mẹta (tricycle) bẹrẹ lati orilẹ-ede India?,[].
"Lẹhin ede okun ati ede Igbira, ede wo ni awọn ara Kogi ti ma sọ ju ?",[].
orílẹ̀-èdè melo lowa laarin Nàìjíríà ati Ghánà?,[].
"iyawo melo ni ọba Alaafin ti Oyo, Oba Lamidi Adeyemi  ni?",[].
Ipinlẹ meloo n'ilẹ Amẹrika pin alaa (border) pẹlu Mexico?,[].
Ta lẹni to sọ orilẹ-ede Iceland l'orukọ?,[].
Ọmọ ọdun melo ni Wikzid nigbati o bi akọbi re?,[].
Ki ni apapọ iye eniyan to wa ni ilu India?,[].
Ọdun wo ni wọn bi Bobbi Kristina Brown ?,[].
Awọn ilu o ni o yi orilẹ ede Spain ka?,[].
Ta ni o kọ ere oniṣe ti akọle rẹ n jẹ Mother of George?,[].
aburo ati egbọn melo ni josefu ọmọ Jakobu tinu bibeli ni?,[].
"Kini orukọ ona to n je ""Funsho William Avenue"" bayi tẹlẹ?",[].
tani ọba Sokoto ni orilede ọdun 1999?,[].
Ere agbelewo wo ni Thelma Okoduwa Ojiji kọkọ ṣe?,[].
Omi adagun ori apata melo lo wa ni agbaye?,[].
Se aarun HIV ni oogun?,[].
Ilé iwe wo ni Oloye Akinola Maja ti kẹkọọ gboye?,[].
ilu wo ni Aso rock wa ni Naijiria?,[].
Ọmọ ọdun meloo ni Deborah Oluwaseyi Joshua?,[].
Ile iwe wo ni Bettinah Tiana ti kawe gboye?,[].
Tani o kọkọ gba ami ẹyẹ Nobel ni Afrika?,[].
Ta lo jẹ olori awọn imam ni ilu Ibadan ni ọdun 2018 ?,[].
Eniyan meloo lo n gbe ipinlẹ Eko?,[].
ile iwe giga melo lani ni California?,[].
Ta ni aarẹ akọkọ ile-ifowopamọ agbaye?,[].
Kini orukọ osere Mr. Bean?,[].
Talo da MP3 silẹ?,[].
Àwọn ilu wo ni o wa ni ẹgbẹ Brazil?,[].
Ọdun wo ni a da ile isẹ Africa Magic silẹ?,[].
Ere wo ni akọkọ to oṣere Yoruba Adebayọ Salami darii rẹ?,[].
Nigbawo ni idije akọkọ obinrin ti o rẹwa julọ waye ni orilẹ ede Naijiria?,[].
isinmi melo lowa ninu oṣu November ni Amerika ?,[].
Njẹ awọn ara Ghana naa maa n mu koko ?,[].
Orilẹ ede melo ni o kopa ninu idije tennis agbaye ti o waye ni 2021?,[].
Ikọ agbabọọlu ti a kọ silẹ meloo lo wa ni Ghana?,[].
Ta ni ọmọ orilẹ-ede Naijiria to kọkọ rinlọfurufu?,[].
Orilẹ ede wo ni agba bọọlu tẹnis lọkunrin ti o peregede julọ lagbaye fun ọdun 2018 ti wa?,[].
ṣe ilu Niajiria ni Burna Boy ti wa?,[].
Unifasiiti meloo lo ti wa ni Switsalandi ni ọdun 2021?,[].
Nigba wo ni wọn da Ile Alagba Asofin Naijiria silẹ?,[].
Ọmọbinrin meloo ni Arnold Schwarzenegger ti bi?,[].
Ki ni apapọ iṣiro awọn ọdọ to wa ni ilẹ Afirika?,[].
Ki ni orukọ meyọ ilu Berlin ni ọdun 2022?,[].
Asia ilẹ wo ni Afrika lo sun mọ asia ti ilẹ Sudan?,[].
Ile ẹkọ giga wo ni Serena Williams ti jade ?,[].
Ki ni apapọ iṣiro eeyan ti o n gbe Ipinlẹ Imo?,[].
Ọdun wo ni awọn ijọ Anglican jade lara ijọ Roman Catholic?,[].
orílẹ̀-èdè wo ni akọrin Don Moen ti wa?,[].
Isẹ King Sunny Ade wo ni wọn kọkọ fa kalẹ fun ami ẹyẹ Grammy?,[].
Dokita wo lo kọkọ ṣe aṣeyọri lori iṣẹ abẹ oju?,[].
Ọdun wo ni wọn da ile ounjẹ Burger King silẹ ni orilẹ ede Naijiria ?,[].
ẹyẹ melo ni Kamaru Usman ti gba ninu ise Ajẹ̀ṣẹ́-gídígbò?,[].
"Ta ni o fagilee idibo ọjọ kejila, oṣu kẹfa, ọdun 1993 ni orilẹ ede Naijiria?",[].
"Ile iṣẹ IT meloo lo wa ni Bay Area, San Francisco, l'orilẹ-ede Amẹrika?",[].
Ọdun wo ni a da ẹgbẹ oloṣelu Rally of the Guinean People silẹ,[].
Ere wo ni Tunde Kelani gbe jade lẹyin ere 'Abẹni'?,[].
Popu kelo lowa lori ipo ọga patapata ti Ìjọ Kátólìkì lowolowo?,[].
Ki ni orukọ ọba Benin ni ọdun 2014 ?,[].
ọmọ ipinle wo ni olorin emi Nathaniel Bassey?,[].
Ilu wo ni aarẹ  tẹlẹ  Goodluck Jonathan ti ṣe ile ẹkọ ẹ ?,[].
Kini gbolohun ọrọ ẹgbẹ Chinese People Political party ilẹ China?,[].
Ni igba wo ni wọn pari kikọ papa Peter Mokaba?,[].
iru orin wo ni olorin Tope Alabi ma nko?,[].
Ta ni iyawo agbabọọlu ere afẹsẹgba Nnamdi Kanu ?,[].
ṣe Madagascar di ibo gomina ni 2021?,[].
ipinlẹ wo ni Alakukọ wa ni orilẹ ede Naijiria ?,[].
se orilẹ-ede France wa ni Apáìwọ̀òrùn Europe?,[].
Ṣe Ukraine wa lara EU?,[].
tani ọga patapata ti yunifasiti North Carolina?,[].
Ọmọọkunrin meloo ni Aarẹ tẹlẹ Donald Trump bi?,[].
Kini orukọ ẹgbẹ agba bọọlu ti orilẹ ede Naijiria ki wọn to di super eagles?,[].
Tani gomina ilu Eko nigba ti wọn kọ ile giga akọkọ l'orilẹ-ede Naijiria?,[].
ṣe iṣẹ apeja wa ni ilu Corsica?,[].
Kini orukọ ọmọkunrin akọbi Banky W?,[].
Ọdun wo ni wọn bi Oduduwa?,[].
Aye melo ni ile-ise Air Peace bere fun ni papako ofurufu Sharja to fa ija pelu awon alase UAE lọdun 2021?,[].
planeti meloo la ni?,[].
Saa melo ni Ronald Koeman lo gẹgẹ bi akọnimọgba  ikọ agbabọlu Barcelona?,[].
ṣe wọn maa n fi epo pupa se Ahriche?,[].
Ile ẹkọ giga wo ni Ṣégun Abraham ti kẹkọọ gboye?,[].
N jẹ Hungary wa lara awọn orilẹ-ede ti European Union?,[].
Kini orukọ ọkọ Elisabeti Keji?,[].
